homeAway,Ball_Possession_1st_Half,Corners_1st_Half,Fouls_Commited_1st_Half,Goals_1st_Half,Red_Cards_1st_Half,Shots_1st_Half,Shots_On_1st_Half,Yellow_Cards_1st_Half,Result
1,54,5,1,1,0,4,2,1,1
0,46,0,3,0,0,4,0,1,1
1,47,8,5,0,0,4,0,0,1
0,53,2,3,1,0,6,1,0,1
1,72,2,6,0,0,4,2,0,1
0,28,0,6,0,0,1,0,2,1
0,31,1,6,0,0,1,1,0,0
0,38,0,6,1,0,1,1,1,0
1,32,4,8,1,0,5,4,2,1
0,68,1,7,0,0,0,0,2,1
1,71,6,9,2,0,9,7,0,1
0,29,0,4,2,0,4,3,0,1
0,64,3,4,1,0,6,2,0,0
0,36,0,5,0,0,3,3,1,0
0,42,0,9,0,0,0,0,1,0
1,69,8,6,0,0,11,6,1,0
0,53,1,6,0,0,2,1,1,0
0,47,1,7,0,0,2,0,0,0
1,35,1,5,0,0,4,1,0,1
0,65,1,7,0,0,2,0,0,1
1,39,2,4,0,0,6,2,0,0
0,24,2,5,1,0,3,1,1,0
1,39,1,4,1,0,5,4,0,0
1,46,1,1,0,0,4,2,0,1
0,54,4,6,0,0,3,3,0,1
0,27,0,4,0,0,1,0,0,0
1,44,4,3,1,0,5,2,1,0
0,40,2,3,0,0,2,0,0,0
1,46,3,2,0,0,1,0,0,0
0,57,6,4,0,0,2,1,0,0
0,65,3,8,1,0,7,4,0,0
1,78,4,4,0,0,1,0,0,0
0,31,2,7,0,0,1,1,1,0
1,36,4,5,1,0,5,3,0,0
1,31,0,3,0,0,1,0,0,0
1,45,2,7,1,0,10,7,1,0
1,53,1,7,1,0,6,1,3,1
0,47,2,6,2,0,4,3,2,1
0,45,1,8,0,0,1,1,1,0
1,58,6,1,0,0,4,2,0,0
0,48,1,4,0,0,2,0,1,0
1,49,2,4,1,0,8,4,1,0
1,34,1,6,1,0,3,1,1,0
1,46,3,5,1,0,7,4,0,0
1,26,3,5,1,0,5,2,0,1
0,74,0,7,2,0,3,2,2,1
1,31,3,3,0,0,3,0,0,0
1,28,2,0,0,0,4,1,0,0
1,66,4,7,1,0,9,2,1,1
0,34,1,6,2,0,5,5,3,1
0,48,0,6,0,0,2,1,1,0
1,43,4,3,0,0,3,2,1,1
0,57,3,5,0,0,6,1,1,1
1,59,2,6,0,0,3,1,1,1
0,41,0,8,0,0,6,5,1,1
0,14,1,4,0,0,1,1,0,0
1,68,3,2,0,0,4,3,0,0
0,41,2,9,0,0,4,1,2,0
0,48,5,7,0,0,2,2,2,0
0,34,1,8,0,0,1,0,1,0
1,44,0,7,1,0,2,1,2,1
0,56,2,7,0,0,1,0,0,1
0,75,3,4,1,0,6,5,0,0
1,26,1,4,1,0,3,1,0,0
1,68,3,2,0,0,5,2,0,0
0,40,1,7,0,0,2,0,0,0
1,38,1,5,0,0,7,3,1,0
1,51,4,4,0,0,4,1,0,0
1,39,2,6,0,0,5,3,1,1
0,61,2,3,2,0,7,5,1,1
0,36,3,9,2,0,5,3,1,0
0,49,1,6,0,0,2,1,0,0
0,38,0,5,1,0,2,1,1,0
0,36,1,2,0,0,2,1,0,0
1,32,2,2,1,0,1,1,0,0
0,48,0,7,1,0,4,3,0,0
0,37,1,3,1,0,4,3,1,0
0,28,1,5,1,0,4,4,0,0
1,48,0,5,2,0,6,5,1,1
0,52,6,8,1,0,10,4,0,1
0,41,1,5,0,0,1,1,0,0
0,20,0,3,0,0,3,1,0,0
0,34,3,5,0,0,4,2,0,0
0,43,5,7,0,0,8,3,1,0
0,60,2,3,0,0,4,3,1,0
0,42,2,2,0,0,2,1,0,0
0,16,1,6,0,0,2,1,1,0
